# heliostats: 224, mirror_area_each: 16.483600, mirror_area_total: 3692.326400
120.000217, 0, -16701.064648, 0.06508745847137806
131.609125, 11.384181, 30596.325931, 0.40138574941408756
145.430433, 20.694902, 14555.986935, 0.5214533470830268
161.791024, 26.955482, 52164.502196, 0.651499832252927
180, 29.1883, 26658.468432, 0.6996417087232347
198.208976, 26.955482, 60336.040273, 0.6555500991536207
214.569567, 20.694902, 11781.313584, 0.5295068378884027
228.390875, 11.384181, 73131.343397, 0.40405213035881277
239.999783, 0, -11638.826313, 0.06557020622396495
90, 0, 12950.225729, 0.029912666825037463
101.166681, 14.208387, 47766.398326, 0.4417689391587334
113.81677, 27.831461, 88962.116514, 0.6461057834948561
129.902516, 39.985564, 118569.22529, 0.7315831410830229
151.861517, 49.061665, 132285.82496, 0.7809451191569214
180, 52.5883, 129541.186292, 0.7966494744690504
208.138483, 49.061665, 129920.557084, 0.7814123116723563
230.097484, 39.985564, 123989.395678, 0.7318464811260352
246.18323, 27.831461, 96225.904997, 0.6414871669149466
258.833319, 14.208387, 92445.886233, 0.4452439331912582
270, 0, 36133.103295, 0.0308159781032708
59.999783, 0, 560.869748, 0.04229442546935701
70.428162, 13.131794, 21850.242625, 0.33295760986561856
80.208349, 27.116203, 74442.372499, 0.4872641776977123
90.537767, 41.520485, 80984.338969, 0.6338338728957958
103.718681, 55.86277, 89065.090872, 0.7168625096463219
126.732905, 69.017875, 87685.397129, 0.7640259202376128
180, 75.9883, 88436.940035, 0.7803401060972698
233.267095, 69.017875, 90236.530101, 0.764896622459238
256.281319, 55.86277, 81469.708667, 0.7187204734697543
269.462233, 41.520485, 80806.852705, 0.6436060051014765
279.791651, 27.116203, 65866.659659, 0.4952206890283266
289.571838, 13.131794, 59215.892077, 0.3378047886256633
300.000217, 0, 3839.66181, 0.043957456332884566
