# latitude_deg: 39.872000,  annual_dni_kWh_per_m2: 2070.689000
# heliostats: 224, mirror_area_each: 16.483600, mirror_area_total: 3692.326400
# azimuth_deg, elevation_deg, weight, efficiency
121.162764, 0, -18795.118202, 0.08050972966219422
132.975599, 10.535117, 36745.273524, 0.3997933098010607
146.726259, 19.058857, 10755.210569, 0.5268742306882348
162.613496, 24.723944, 53878.251605, 0.6689350110223725
180, 26.728, 23415.64342, 0.7223528500884376
197.386504, 24.723944, 62054.81996, 0.6695994983789906
213.273741, 19.058857, 6784.395978, 0.527623318534824
227.024401, 10.535117, 77872.892584, 0.3998801421439083
238.837236, 0, -13001.323971, 0.07921020733341808
90, 0, 12151.551432, 0.03073104475567081
101.766337, 13.719212, 49932.944247, 0.46086497568505275
114.974597, 26.815087, 87483.863934, 0.6746363410806262
131.424008, 38.382119, 117775.813884, 0.7772229023401219
153.122468, 46.879307, 132927.548417, 0.8247937412582351
180, 50.128, 128362.904083, 0.8377923920606727
206.877532, 46.879307, 131092.970514, 0.8245397990466767
228.575992, 38.382119, 122174.366771, 0.7770571599964629
245.025403, 26.815087, 95761.931108, 0.6755303850405613
258.233663, 13.719212, 94281.507523, 0.46198104133086426
270, 0, 35488.584461, 0.0309929811936548
58.837236, 0, 317.420146, 0.04208218640671374
70.087424, 12.822442, 18703.475082, 0.3442601072936302
80.742577, 26.567318, 72109.965921, 0.5175716742383631
92.090254, 40.737099, 82926.154467, 0.6876102928291951
106.579711, 54.751466, 91021.743671, 0.7706096422063256
130.941519, 67.284849, 88995.538881, 0.8147269218128281
180, 73.528, 90643.068391, 0.8329534920407166
229.058481, 67.284849, 90870.321759, 0.8162375885974034
253.420289, 54.751466, 84626.938303, 0.772361317636978
267.909746, 40.737099, 80392.831533, 0.6884032590335462
279.257423, 26.567318, 67513.920119, 0.5195567631639664
289.912576, 12.822442, 55308.239281, 0.3455349983380724
301.162764, 0, 2251.296581, 0.04376309609607177
