# latitude_deg: 39.872000, annual_dni_kWh_per_m2: 2070.689000
# azimuth_deg, elevation_deg, weight
121.162764, 0.000000, -18795.118202
132.975599, 10.535117, 36745.273524
146.726259, 19.058857, 10755.210569
162.613496, 24.723944, 53878.251605
180.000000, 26.728000, 23415.643420
197.386504, 24.723944, 62054.819960
213.273741, 19.058857, 6784.395978
227.024401, 10.535117, 77872.892584
238.837236, 0.000000, -13001.323971
90.000000, 0.000000, 12151.551432
101.766337, 13.719212, 49932.944247
114.974597, 26.815087, 87483.863934
131.424008, 38.382119, 117775.813884
153.122468, 46.879307, 132927.548417
180.000000, 50.128000, 128362.904083
206.877532, 46.879307, 131092.970514
228.575992, 38.382119, 122174.366771
245.025403, 26.815087, 95761.931108
258.233663, 13.719212, 94281.507523
270.000000, 0.000000, 35488.584461
58.837236, 0.000000, 317.420146
70.087424, 12.822442, 18703.475082
80.742577, 26.567318, 72109.965921
92.090254, 40.737099, 82926.154467
106.579711, 54.751466, 91021.743671
130.941519, 67.284849, 88995.538881
180.000000, 73.528000, 90643.068391
229.058481, 67.284849, 90870.321759
253.420289, 54.751466, 84626.938303
267.909746, 40.737099, 80392.831533
279.257423, 26.567318, 67513.920119
289.912576, 12.822442, 55308.239281
301.162764, -0.000000, 2251.296581
